RevenueID,ME_DATE_SEIZEDDEFENDANT_S_NAME,ME_DATE_RECEIVED,ME_DEFENDANT_S_NAME,ME_DOCKET_NO,ME_ASSETS_SEIZED,ME_CURRENCY_SEIZED,ME_DISTRIBUTION_BY_AGENCY,ME_PROSECUTOR,ME_DATE_OF_FINAL_ORDER,ME_sheet,ME_position_1,ID,STATE,RevenueID2,YEAR,UNIT_TYPE,PROP_TYPE,REV,PROCD_TYPE,CONV_TYPE,CASE_NO
2311,4/3/2013,7/30/2014 0:00,REDACTION,ANDCV-14-,9mm High Point,,MDEA  ,"David Fisher, AAG",,1,11,11,ME,2311,,OTHER,,,,,ANDCV-14-
2312,4/3/2013,7/10/2013 0:00,REDACTION,ANDCR-13-426,$675.00 ,,MDEA 100%,"David Fisher, AAG",8/13/2014,1,12,12,ME,2312,2014,OTHER,CURRENCY,675,,,ANDCR-13-426
2313,4/7/2014,7/31/2014 0:00,REDACTION,YORKCR-14-735,"$1,480.00 ",,Saco PD 100%,"Raphaelle Silver, AAG",8/21/2014,1,13,13,ME,2313,2014,OTHER,CURRENCY,1480,,,YORKCR-14-735
2314,,,,,$730.00 ,,Saco PD 100%,,,1,14,14,ME,2314,,OTHER,,,,,
2315,7/30/2014,8/1/2014 0:00,REDACTION,PENCR-14-2768,"$2,439.00 ",,MDEA 100%,"Pat Larson, AAG",3/3/2015,1,15,15,ME,2315,2015,PROPERTY,CURRENCY,2439,,,PENCR-14-2768
2316,7/30/2014,8/1/2014 0:00,REDACTION,PENCR-14-2770,"$6,000.00 ",,Bangor PD 50%/UMPD 50%,"Janice Stuver, AAG",12/13/2016,1,16,16,ME,2316,2016,PROPERTY,CURRENCY,6000,,,PENCR-14-2770
2317,7/31/2014,8/7/2014 0:00,REDACTION,KENCR-14-774,$867.00 ,,Waterville PD 100%,"Katie Sibley, AAG",,1,17,17,ME,2317,,OTHER,,,,,KENCR-14-774
2318,11/18/2013,8/7/2014 0:00,REDACTION,ANDCR-14-512,"$2,387.00 ",,MDEA 100%,"David Fisher, AAG",3/14/2019,1,18,18,ME,2318,2019,PROPERTY,CURRENCY,2387,,,ANDCR-14-512
2319,8/5/2014,8/7/2014 0:00,REDACTION,PENCR-14-2817,"$1,251.00 ",,Bangor PD 100%,"Janice Stuver, AAG",11/22/2016,1,19,19,ME,2319,2016,PROPERTY,CURRENCY,1251,,,PENCR-14-2817
2320,7/26/2014,8/12/2014 0:00,REDACTION,OX-CR-14-310,"$1,614.00 ",,MDEA 50%/Rumford PD 50%,"David Fisher, AAG",11/2/2015,1,20,20,ME,2320,2015,PROPERTY,CURRENCY,1614,,,OX-CR-14-310
2321,7/10/2014,8/12/2014 0:00,REDACTION,ANDCR-14-1130,"$1,256.00 ",,MDEA 100%,"David Fisher, AAG",4/12/2016,1,21,21,ME,2321,2016,PROPERTY,CURRENCY,1256,,,ANDCR-14-1130
2322,6/5/2014,8/12/2014 0:00,REDACTION,ANDCR-14-814,"$1,177.00 ",,MDEA 50%/MSP 50%,"David Fisher, AAG",6/16/2016,1,22,22,ME,2322,2016,PROPERTY,CURRENCY,1177,,,ANDCR-14-814
2323,7/23/2014,8/12/2014 0:00,REDACTION,AND-CR-14-761/CV-15-74,"$53,500.00 ",,MDEA 25%/Lewiston PD 75%,"David Fisher, AAG",,1,23,23,ME,2323,,OTHER,,,,,AND-CR-14-761/CV-15-74
2324,8/1/2014,8/12/2014 0:00,REDACTION,AND-CR-14-789,"$2,021.00 ",,MDEA 100%,"David Fisher, AAG",3/12/2018,1,24,24,ME,2324,2018,PROPERTY,CURRENCY,2021,,,AND-CR-14-789
2325,5/20/2014,8/12/2014 0:00,REDACTION,ANDCR-14-537/ANDCV-15,2004 Chrysler Pacifica,,MSP 100%,"David Fisher, AAG",,1,25,25,ME,2325,,OTHER,,,,,ANDCR-14-537/ANDCV-15
2326,5/20/2014,8/12/2014 0:00,REDACTION,ANDCV-15-144,"$14,215.00 ",,MDEA 50%; 50% MSP,"David Fisher, AAG",5/11/2016,1,26,26,ME,2326,2016,PROPERTY,CURRENCY,14215,,,ANDCV-15-144
2327,11/18/2013,8/12/2014 0:00,REDACTION,ANDCR-14-815,"$1,014.00 ",,Lewiston PD 100%,"David Fisher, AAG",6/11/2015,1,27,27,ME,2327,2015,PROPERTY,CURRENCY,1014,,,ANDCR-14-815
2328,3/20/2014,8/12/2014 0:00,REDACTION,ANDCR-14-824,"$2,850.00 ",,Auburn PD 100%,"David Fisher, AAG",9/26/2014,1,28,28,ME,2328,2014,OTHER,CURRENCY,2850,,,ANDCR-14-824
2329,5/12/2014,8/12/2014 0:00,REDACTION,ANDCR-14-503 14-273,"$1,226.00 ",,Auburn PD 100%,"David Fisher, AAG",2/24/2017,1,29,29,ME,2329,2017,PROPERTY,CURRENCY,1226,,,ANDCR-14-503 14-273
2330,3/14/2014,8/12/2014 0:00,REDACTION,ANDCR-14-821,"$1,226.00 ",,MDEA 100%,"David Fisher, AAG",,1,30,30,ME,2330,,OTHER,,,,,ANDCR-14-821
2331,11/15/2012,8/14/2014 0:00,REDACTION,CARSC-CV-14-092,"$1,690.00 ",,County of Aroostook 100%,"Kurt Kafferlin, ADA",N/A,1,31,31,ME,2331,,OTHER,,,,,CARSC-CV-14-092
2332,5/9/2014,7/24/2014 0:00,REDACTION,YORKCR-14-960,"$1,023.00 ",,Sanford PD 50%/Wells PD 50%,"Raphaelle Silver, AAG",12/16/2014,1,32,32,ME,2332,2014,OTHER,CURRENCY,1023,,,YORKCR-14-960
2333,10/31/2013,8/21/2014 0:00,REDACTION,CUMCR-13-7385,.45 Cal. Firearm,,MDEA,"Lea-Anne Sutton, AAG",N/A,1,33,33,ME,2333,,OTHER,,,,,CUMCR-13-7385
2334,1/2/2014,8/4/2014 0:00,REDACTION,OXCR-14-11,2 firearms,,Maine State Police 100%,"David Fisher, AAG",11/1/2016,1,34,34,ME,2334,2016,OTHER,,,,,OXCR-14-11
2335,1/2/2014,8/4/2014 0:00,REDACTION,OXCR-14-12,2 firearms (see above),,Maine State Police 100%,"David Fisher, AAG",N/A,1,35,35,ME,2335,,OTHER,,,,,OXCR-14-12
2336,12/6/2007,9/2/2014 0:00,REDACTION,CARSC-CR-14-091,"$1,380.00 ",,County of Aroostook 100%,"Kurt Kafferlin, ADA",N/A,1,36,36,ME,2336,,OTHER,,,,,CARSC-CR-14-091
2337,4/14/2014,9/9/2014 0:00,REDACTION,OXCR-14-133,"$7,368.00 ",,MDEA 50%;Oxford SO 25%;Rumford PD 25%,"David Fisher, AAG",,1,37,37,ME,2337,,OTHER,,,,,OXCR-14-133
2338,4/14/2014,9/9/2014 0:00,REDACTION,OXCR-14-140,"$1,230.00 ",,MDEA 100%,"David Fisher, AAG",8/28/2018,1,38,38,ME,2338,2018,PROPERTY,CURRENCY,1230,,,OXCR-14-140
2339,8/29/2014,9/10/2014 0:00,REDACTION,,"$1,934.00 ",,MDEA 50%; Knox SO 50%,"Katie Sibley, AAG",,1,39,39,ME,2339,,OTHER,,,,,
2340,8/20/2014,9/11/2014 0:00,REDACTION,YORCR-14-1837,"$2,220.00 ",,MDEA 40%; Brunswick PD 30%; Saco PD 30%,"Raphaelle Silver, AAG",2/23/2015,1,40,40,ME,2340,2015,PROPERTY,CURRENCY,2220,,,YORCR-14-1837
2341,8/21/2014,9/11/2014 0:00,REDACTION,,$482.00 ,,MDEA 100%,"David Fisher, AAG",Money to be returned,1,41,41,ME,2341,,OTHER,,,,,
2342,8/21/2014,9/11/2014 0:00,REDACTION,ANDSCCR-15-455,"$1,529.00 ",,MDEA 50%; Lewiston PD 50%,"David Fisher, AAG",2/25/2016,1,42,42,ME,2342,2016,PROPERTY,CURRENCY,1529,,,ANDSCCR-15-455
2343,7/3/2014,7/24/2014 0:00,REDACTION,LINCR-14-142,"$15,404.00 ",,MDEA 45%; MSP 20%;Lincoln County SO 15%; Rockland PD 10%; Knox SO 10%,"Jamie Guerrette, AAG",,1,43,43,ME,2343,,OTHER,,,,,LINCR-14-142
2344,,,REDACTION,LINCR-14-142,(3) 3 firearms,,MDEA 100%,"Jamie Guerrette, AAG",,1,44,44,ME,2344,,OTHER,,,,,LINCR-14-142
2345,5/16/2014,6/12/2014 0:00,REDACTION,LINCR-14-131,"$4,353.00 ",,MDEA 35%;Waldoboro PD 35%;Lincoln County SO 30%,"Jamie Guerrette, AAG",,1,45,45,ME,2345,,OTHER,,,,,LINCR-14-131
2346,5/21/2014,9/3/2014 0:00,REDACTION,YORSCCR-14-1063,"$1,132.00 ",,York PD 50%; Kennebunk PD 50%,"Raphaelle Silver, AAG",6/2/2016,1,46,46,ME,2346,2016,PROPERTY,CURRENCY,1132,,,YORSCCR-14-1063
2347,9/5/2014,9/16/2014 0:00,REDACTION,PENCR-14-3258,"$10,191.00 ",,MDEA 33%; Penobscot SO 33%; Bangor PD 33%,"Pat Larson, AAG",10/1/2015,1,47,47,ME,2347,2015,PROPERTY,CURRENCY,10191,,,PENCR-14-3258
2348,1/18/2013,9/19/2014 0:00,REDACTION,PENCR-13-296,$652.00 ,,Penobscot County SO 100%,"Pat Larson, AAG",,1,48,48,ME,2348,,OTHER,,,,,PENCR-13-296
2349,,9/30/2014 0:00,REDACTION,CUMCR-14-4461,"$3,614.00 & 1 F/A",,"$500.00 Portland PD; $3,114 & FA - MDEA","Lea-Anne Sutton, AAG",,1,49,49,ME,2349,,OTHER,,,,,CUMCR-14-4461
2350,,10/2/2014 0:00,REDACTION,CUMCR-14-4328,"$7,476.00 ",,"$1,495.20 Portland PD; $5,980 MDEA","Lea-Anne Sutton, AAG",,1,50,50,ME,2350,,OTHER,,,,,CUMCR-14-4328
2351,4/2/2014,7/14/2014 0:00,REDACTION,PENCR-14-1219,"3,940.00",,"$1,970.00 MDEA/$1,970.00 Bangor PD","Pat Larson, AAG",9/26/2014,1,51,51,ME,2351,2014,OTHER,CURRENCY,3940,,,PENCR-14-1219
2352,8/28/2014,10/10/2014 0:00,REDACTION,HANCR-14-1099,$486.00 ,,Hancock County 100%,"Pat Larson, AAG",9/1/2015,1,52,52,ME,2352,2015,PROPERTY,CURRENCY,486,,,HANCR-14-1099
2353,9/10/2014,10/10/2014 0:00,REDACTION,,$784.00 ,,Washington County SO 100%,"Pat Larson, AAG",,1,53,53,ME,2353,,OTHER,,,,,
2354,8/28/2014,10/10/2014 0:00,REDACTION,HANCR-14-1095,$508.00 ,,Hancock County 100%,"Pat Larson, AAG",6/26/2015,1,54,54,ME,2354,2015,PROPERTY,CURRENCY,508,,,HANCR-14-1095
2355,9/6/2014,10/10/2014 0:00,REDACTION,HANCR-14-1225,"$3,070.00 ",,MDEA 20%; Hancock County 80%,"Pat Larson, AAG",6/26/2015,1,55,55,ME,2355,2015,PROPERTY,CURRENCY,3070,,,HANCR-14-1225
2356,10/3/2014,10/10/2014 0:00,REDACTION,KNO-CR-14-235,"$4,592.00 ",,MDEA 50%; Knox SO 25%; Rockland PD 25%,"Katie Sibley, AAG",7/8/2015,1,56,56,ME,2356,2015,PROPERTY,CURRENCY,4592,,,KNO-CR-14-235
2357,10/3/2014,10/10/2014 0:00,REDACTION,KNO-CR-14-232,"$5,838.00 ",,MDEA 60%; Knox SO 20%; MSP 10%; Rockland PD 10%,"Katie Sibley, AAG",8/14/2015,1,57,57,ME,2357,2015,PROPERTY,CURRENCY,5838,,,KNO-CR-14-232
2358,9/22/2014,10/9/2014 0:00,REDACTION,KNOCR-14-229,1990 Chevy K2500,,Knox SO 100%,"Katie Sibley, AAG",4/17/2015,1,58,58,ME,2358,2015,OTHER,,,,,KNOCR-14-229
2359,9/12/2014,10/14/2014 0:00,REDACTION,YORK-CR-,Zastava Serbia f/a,,MDEA 100%,"Raphaelle Silver, AAG",,1,59,59,ME,2359,,OTHER,,,,,YORK-CR-
2360,9/15/2014,10/14/2014 0:00,REDACTION,YORK-CR-16-261,"$2,700.00 ",,Biddeford PD 50%; Ogunquit PD 50%,"Raphaelle Silver, AAG",10/1/2018,1,60,60,ME,2360,2018,PROPERTY,CURRENCY,2700,,,YORK-CR-16-261
2361,9/16/2014,10/14/2014 0:00,REDACTION,YORK-CR-14-2053,"$5,733.00 ",,MDEA 50%; Biddeford PD 25%; Saco PD 25%,"Raphaelle Silver, AAG",3/1/2016,1,61,61,ME,2361,2016,PROPERTY,CURRENCY,5733,,,YORK-CR-14-2053
2362,9/22/2014,10/14/2014 0:00,REDACTION,YORK-CR-14-2370,$508.00 ,,Kennebunk PD 100%,"Raphaelle Silver, AAG",11/19/2015,1,62,62,ME,2362,2015,PROPERTY,CURRENCY,508,,,YORK-CR-14-2370
2363,9/22/2014,10/14/2014 0:00,REDACTION,LIN-CR-14-365,Ruger 357,,MDEA 100%,"Jamie Guerrette, AAG",5/6/2015,1,63,63,ME,2363,2015,OTHER,,,,,LIN-CR-14-365
2364,9/19/2014,10/14/2014 0:00,REDACTION,LIN-CR-14-365,Winchester 30-30,,Maine Warden Service 100%,"Jamie Guerrette, AAG",5/6/2015,1,64,64,ME,2364,2015,OTHER,,,,,LIN-CR-14-365
2365,9/19/2014,10/14/2014 0:00,REDACTION,LIN-CR-14-365,New England Arms,,Lincoln County SO 100%,"Jamie Guerrette, AAG",5/6/2015,1,65,65,ME,2365,2015,OTHER,,,,,LIN-CR-14-365
2366,9/19/2014,10/14/2014 0:00,REDACTION,LIN-CR-14-365,4-wheeler Artic Cat,,Lincoln County SO 100%,"Jamie Guerrette, AAG",5/6/2015,1,66,66,ME,2366,2015,OTHER,,,,,LIN-CR-14-365
2367,10/1/2014,10/14/2014 0:00,REDACTION,LIN-CR-14-341,"$2,888.00 ",,MDEA 40%; Lincoln County SO 20%; Rockland PD 20%; Waldoboro PD 20%,"Jamie Guerrette, AAG",10/2/2017,1,67,67,ME,2367,2017,PROPERTY,CURRENCY,2888,,,LIN-CR-14-341
2368,10/1/2014,10/14/2014 0:00,REDACTION,OXFCV-16-30,"$4,066.00 ",,MDEA 75%; Oxford County SO 25%,"David Fisher, AAG",5/9/2016,1,68,68,ME,2368,2016,PROPERTY,CURRENCY,4066,,,OXFCV-16-30
2369,9/4/2014,10/14/2014 0:00,REDACTION,ANDCR-15-145,$731.00 ,,MDEA 100%,"David Fisher, AAG",,1,69,69,ME,2369,,OTHER,,,,,ANDCR-15-145
2370,,10/16/2014 0:00,REDACTION,CUMCR-14-4365,$636.00 ,,Cumberland County SO 100%,"Lea-Anne Sutton, AAG",,1,70,70,ME,2370,,OTHER,,,,,CUMCR-14-4365
2371,,10/16/2014 0:00,REDACTION,CUMCR-14-3645,"$5,252.52 ",,Portland Police Department 100%,"Lea-Anne Sutton, AAG",,1,71,71,ME,2371,,OTHER,,,,,CUMCR-14-3645
2372,5/15/2014,,REDACTION,SAGCR-14-488,$770.00 ,,MDEA 100%,"Jamie Guerrette, AAG",,1,72,72,ME,2372,,OTHER,,,,,SAGCR-14-488
2373,10/14/2014,10/22/2014 0:00,REDACTION,KNOCR-14-236,1997 Chevy,,Knox SO 100%,"Katie Sibley, AAG",8/5/15 - Not taking truck,1,73,73,ME,2373,,OTHER,,,,,KNOCR-14-236
2374,5/30/2014,6/9/2014 0:00,REDACTION,YORCR-14-1158,$904.00 ,,MDEA 100%,"Raphaelle Silver, AAG",9/24/2015,1,74,74,ME,2374,2015,PROPERTY,CURRENCY,904,,,YORCR-14-1158
2375,6/16/2014,11/10/2014 0:00,REDACTION,ANDCR-14-1179,$699.00 ,,Auburn PD 100%,"David Fisher, AAG",,1,75,75,ME,2375,,OTHER,,,,,ANDCR-14-1179
2376,1/29/2014,11/10/2014 0:00,REDACTION,YORCR-14-257,"$1,103.00 ",,Wells PD 100%,"Raphaelle Silver, AAG",12/3/2014,1,76,76,ME,2376,2014,OTHER,CURRENCY,1103,,,YORCR-14-257
2377,6/10/2014,11/14/2014 0:00,REDACTION,YORCR-14-1229,"$1,115.00 ",,Saco PD 50%; Probation 50%,"Raphaelle Silver, AAG",12/23/2014,1,77,77,ME,2377,2014,OTHER,CURRENCY,1115,,,YORCR-14-1229
2378,2/12/2014,11/14/2014 0:00,REDACTION,YORCR-14-378,"$1,600.00 ",,Biddeford PD 100%,"Raphaelle Silver, AAG",1/22/2015,1,78,78,ME,2378,2015,PROPERTY,CURRENCY,1600,,,YORCR-14-378
2379,11/14/2013,11/17/2014 0:00,REDACTION,YORCR-13-2839,$798.00 ,,Maine State Police 100%,"Raphaelle Silver, AAG",,1,79,79,ME,2379,,OTHER,,,,,YORCR-13-2839
2380,7/12/2014,11/14/2014 0:00,REDACTION,YORCR-14-1505,"$1,321.00 ",,Wells PD 100%,"Raphaelle Silver, AAG",6/12/2015,1,80,80,ME,2380,2015,PROPERTY,CURRENCY,1321,,,YORCR-14-1505
2381,6/7/2014,11/14/2014 0:00,REDACTION,YORCR-14-1218,"$1,111.00 ",,Saco PD 100%,"Raphaelle Silver, AAG",7/14/2015,1,81,81,ME,2381,2015,PROPERTY,CURRENCY,1111,,,YORCR-14-1218
2382,12/1/2013,11/14/2014 0:00,REDACTION,YORCR-13-2888,"$22,266.00 ",,Maine State Police 100%,"Raphaelle Silver, AAG",,1,82,82,ME,2382,,OTHER,,,,,YORCR-13-2888
2383,6/26/2014,11/14/2014 0:00,REDACTION,YORCR-14-1414,shot gun,,MDEA 100%,"Raphaelle Silver, AAG",2/24/2015,1,83,83,ME,2383,2015,OTHER,,,,,YORCR-14-1414
2384,9/17/2012,11/14/2014 0:00,REDACTION,YORCR-12-1948,2 firearms,,MDEA 100%,"Raphaelle Silver, AAG",11/20/2014 judge's error,1,84,84,ME,2384,,OTHER,,,,,YORCR-12-1948
2385,11/12/2014,11/17/2014 0:00,REDACTION,PENCR-14-3215,"$3,050.00 ",,MDEA 50%; Bangor PD 50%,"Pat Larson, AAG",10/1/2015,1,85,85,ME,2385,2015,PROPERTY,CURRENCY,3050,,,PENCR-14-3215
2386,7/9/2014,11/18/2014 0:00,REDACTION,YORCR-14-1490,"$1,185.00 ",,Maine State Police - 100%,"Raphaelle Silver, AAG",24-Jul-15,1,86,86,ME,2386,2015,PROPERTY,CURRENCY,1185,,,YORCR-14-1490
2387,,,,,3 Firearms & Ammo,,Maine State Police - 100%,"Raphaelle Silver, AAG",,1,87,87,ME,2387,,OTHER,,,,,
2388,10/27/2014,11/21/2014 0:00,REDACTION,HANSCCR-14-1306,"$9,743.00 ",,Ellsworth PD 30%; Hancock County SO 70%,"Pat Larson, AAG",,1,88,88,ME,2388,,OTHER,,,,,HANSCCR-14-1306
2389,5/26/2014,11/21/2014 0:00,REDACTION,YORCR-14-1822,"$2,700.00 ",,Maine State Police 100% (Return $10.00),"Raphaelle Silver, AAG",12/29/2014,1,89,89,ME,2389,2014,OTHER,CURRENCY,2700,,,YORCR-14-1822
2390,9/4/2013,11/21/2014 0:00,REDACTION,YORCR-13-2138,"$1,224.00 ",,York PD 100%,"Raphaelle Silver, AAG",2/3/2017,1,90,90,ME,2390,2017,PROPERTY,CURRENCY,1224,,,YORCR-13-2138
2391,,,REDACTION,"            """,7 firearms,,York PD 100%,,2/3/2017,1,91,91,ME,2391,2017,OTHER,,,,,"            """
2392,,,REDACTION,"            """,crossbow,,York PD 100%,,2/3/2017,1,92,92,ME,2392,2017,OTHER,,,,,"            """
2393,,,REDACTION,"            """,Gun Scope,,York PD 100%,,2/3/2017,1,93,93,ME,2393,2017,OTHER,,,,,"            """
2394,,,REDACTION,"            """,Mag.clips & Ammo,,York PD 100%,,2/3/2017,1,94,94,ME,2394,2017,OTHER,,,,,"            """
2395,10/24/2013,12/2/2014 0:00,REDACTION,SOMDCCV-12-40,"$2,555.00; Dehumidifiers",,County of Somerset 50% currency; 2 dehumidifiers; return 50%&1 generator ,"Brent Davis, ADA",,1,95,95,ME,2395,,OTHER,,,,,SOMDCCV-12-40
2396,11/25/2014,12/3/2014 0:00,REDACTION,KENCR-14-1189 ,$550.00 ,,Winslow Police Dept. 100%,"Katie Sibley, AAG",Settlement Agreement 05/11/16,1,96,96,ME,2396,,OTHER,,,,,KENCR-14-1189 
2397,,11/17/2014 0:00,REDACTION,CUMCR-14-,"$16,004.00 ",,,"Lea-Anne Sutton, AAG",,1,97,97,ME,2397,,OTHER,,,,,CUMCR-14-
2398,12/6/2013,12/8/2014 0:00,REDACTION,YORCR-13-2963,"$611.00; $3,900.00, 1 S&W",,Buxton PD 100%; MDEA 100% (gun),"Raphaelle Silver, AAG",11/1/2016,1,98,98,ME,2398,2016,PROPERTY,CURRENCY,4511,,,YORCR-13-2963
2399,11/8/2014,12/9/2014 0:00,REDACTION,,$497.00 ,,Hancock County 100%,"Pat Larson, AAG",,1,99,99,ME,2399,,OTHER,,,,,
23100,11/13/2014,12/8/2014 0:00,REDACTION,HANSCCR-14-1328,$201.00 ,,Hancock County 100%,"Pat Larson, AAG",12/17/2015,1,100,100,ME,23100,2015,PROPERTY,CURRENCY,201,,,HANSCCR-14-1328
23101,11/14/2014,12/8/2014 0:00,REDACTION,,"$1,245.00 ",,MDEA 100%,"David Fisher, AAG",,1,101,101,ME,23101,,OTHER,,,,,
23102,11/4/2014,12/8/2014 0:00,REDACTION,YORSCCR-14-2456,1 firearm and $852,,Ogunquit PD 100%,"Raphaelle Silver, AAG",Case went Federal,1,102,102,ME,23102,,OTHER,,,,,YORSCCR-14-2456
23103,9/26/2014,12/10/2014 0:00,REDACTION,ANDCR-14-1028,"$3,900.00 ",,Livermore Falls PD 100%,"David Fisher, AAG",10/30/2015,1,103,103,ME,23103,2015,PROPERTY,CURRENCY,3900,,,ANDCR-14-1028
23104,6/17/2014,6/20/2014 0:00,REDACTION,YORCR-14-1287,"$1,180.00 ",,Kennebunk PD 100%,"Raphaelle Silver, AAG",1/26/2015,1,104,104,ME,23104,2015,PROPERTY,CURRENCY,1180,,,YORCR-14-1287
23105,12/10/2014,12/12/2014 0:00,REDACTION,KENCR-14-1176/1240,"$5,257.00 ",,MDEA 50%; Augusta PD 25%; Oakland PD 25%,"Katie Sibley, AAG",Joint forfeiture       7/10/17,1,105,105,ME,23105,,OTHER,,,,,KENCR-14-1176/1240
23106,1/18/2013,12/19/2014 0:00,REDACTION,PENCR-13-306,"$2,555.00 ",,Penobscot County SO 100%,"Pat Larson, AAG",3/11/2015,1,106,106,ME,23106,2015,PROPERTY,CURRENCY,2555,,,PENCR-13-306
23107,10/6/2014,12/19/2014 0:00,REDACTION,PENCR-13-306,"$50,000.00 ",,MDEA 50%; Penobscot County SO 30%; Brewer PD 20%,"Pat Larson, AAG",3/11/2015,1,107,107,ME,23107,2015,PROPERTY,CURRENCY,50000,,,PENCR-13-306
23108,,12/29/2014 0:00,REDACTION,HOUSC-CR-14-043,3 firearms  ,,MDEA 100%,"Kurt Kafferlin, ADA",,1,108,108,ME,23108,,OTHER,,,,,HOUSC-CR-14-043
23109,,12/30/2014 0:00,REDACTION,SOM-CV-14-40,"$32,984.00 ",,Somerset County Sheriff's Dept. 100%/split with DHHS,"Brent Davis, ADA",,1,109,109,ME,23109,,OTHER,,,,,SOM-CV-14-40
23110,,12/30/2014 0:00,REDACTION,SOM-CV-14-41,"$9,860.00 ",,Somerset County Sheriff's Dept. 100%,"Brent Davis, ADA",,1,110,110,ME,23110,,OTHER,,,,,SOM-CV-14-41
23111,,12/31/2014 0:00,REDACTION,CUM-CR-14-4371,2004 Mercedes Benz,,Maine State Police,"Lea-Anne Sutton, AAG",,1,111,111,ME,23111,,OTHER,,,,,CUM-CR-14-4371
23112,10/16/2014,12/30/2014 0:00,REDACTION,ANDCR-14-447,$654.37 ,,Norway Police Department 100%,"David Fisher, AAG",4/26/2016,1,112,112,ME,23112,2016,PROPERTY,CURRENCY,654,,,ANDCR-14-447
23113,2/2/2014,3/7/2014 0:00,REDACTION,ANDSCCR-14-109,$983.00 ,,Lisbon PD 100%,"David Fisher, AAG",11/6/2015,1,113,113,ME,23113,2015,PROPERTY,CURRENCY,983,,,ANDSCCR-14-109
23114,10/3/2013,2/24/2014 0:00,REDACTION,YORSCCR-13-2413,"$1,410.00 ",,MDEA 100%,"Raphaelle Silver, AAG",2/1/2016,1,114,114,ME,23114,2016,PROPERTY,CURRENCY,1410,,,YORSCCR-13-2413
23115,1/28/2013,3/20/2013 0:00,REDACTION,FRASCCV-15-24,"$1,267.00 ",,MDEA 100%,"David Fisher, AAG",04/25/16 return $200.00,1,115,115,ME,23115,,OTHER,,,,,FRASCCV-15-24
23116,12/3/2013,3/6/2014 0:00,REDACTION,ANDSCCR-14-222,$610.00 ,,MDEA 100%,"David Fisher, AAG",6/16/2016,1,116,116,ME,23116,2016,PROPERTY,CURRENCY,610,,,ANDSCCR-14-222
23117,2/4/2014,4/16/2014 0:00,REDACTION,ANDSCCR-14-122,"$1,099.00 ",,Lewiston PD 100%,"David Fisher, AAG",6/16/2016,1,117,117,ME,23117,2016,PROPERTY,CURRENCY,1099,,,ANDSCCR-14-122
23118,4/2/2014,6/18/2014 0:00,REDACTION,YORSCCR-14-706,$294.00 ,,Saco PD 100%,"Raphaelle Silver, AAG",1/15/2015,1,118,118,ME,23118,2015,PROPERTY,CURRENCY,294,,,YORSCCR-14-706
23119,12/11/2014,1/7/2015 0:00,REDACTION,,2000 Ford Taurus,,Maine State Police 100%,"Katie Sibley, AAG",,2,1,119,ME,23119,,OTHER,,,,,
